file;method;flaw
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__File_54e.java;badSink;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__File_61a.java;bad;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__File_66b.java;badSink;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__File_67b.java;badSink;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__File_68b.java;badSink;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__File_68b.java;goodG2BSink;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__File_71b.java;badSink;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__File_72b.java;badSink;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__File_73b.java;badSink;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__File_74b.java;badSink;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__File_75b.java;badSink;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__File_75b.java;goodG2BSink;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__File_81_bad.java;action;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__PropertiesFile_75b.java;badSink;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__PropertiesFile_75b.java;goodG2BSink;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__Property_01.java;bad;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__Property_02.java;bad;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__Property_03.java;bad;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__Property_04.java;bad;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__Property_05.java;bad;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__Property_06.java;bad;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__Property_07.java;bad;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__Property_08.java;bad;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__Property_09.java;bad;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__Property_10.java;bad;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__Property_11.java;bad;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__Property_12.java;bad;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__Property_13.java;bad;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__Property_14.java;bad;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__Property_15.java;bad;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__Property_16.java;bad;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__Property_17.java;bad;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__Property_21.java;bad;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__Property_22a.java;bad;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__Property_31.java;bad;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__Property_41.java;badSink;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__Property_42.java;bad;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__Property_45.java;badSink;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__Property_51b.java;badSink;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__Property_52c.java;badSink;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__Property_53d.java;badSink;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__Property_54e.java;badSink;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__Property_61a.java;bad;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__Property_66b.java;badSink;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__Property_67b.java;badSink;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__Property_68b.java;badSink;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__Property_68b.java;goodG2BSink;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__Property_71b.java;badSink;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__Property_72b.java;badSink;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__Property_73b.java;badSink;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__Property_74b.java;badSink;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__Property_75b.java;badSink;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__Property_75b.java;goodG2BSink;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__Property_81_bad.java;action;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__URLConnection_01.java;bad;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__URLConnection_02.java;bad;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__URLConnection_03.java;bad;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__URLConnection_04.java;bad;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__URLConnection_05.java;bad;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__URLConnection_06.java;bad;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__URLConnection_07.java;bad;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__URLConnection_08.java;bad;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__URLConnection_09.java;bad;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__URLConnection_10.java;bad;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__URLConnection_11.java;bad;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__URLConnection_12.java;bad;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__URLConnection_13.java;bad;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__URLConnection_14.java;bad;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__URLConnection_15.java;bad;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__URLConnection_16.java;bad;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__URLConnection_17.java;bad;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__URLConnection_21.java;bad;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__URLConnection_22a.java;bad;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__URLConnection_31.java;bad;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__URLConnection_41.java;badSink;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__URLConnection_42.java;bad;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__URLConnection_45.java;badSink;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__URLConnection_51b.java;badSink;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__URLConnection_52c.java;badSink;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__URLConnection_53d.java;badSink;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__URLConnection_54e.java;badSink;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__URLConnection_61a.java;bad;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__URLConnection_66b.java;badSink;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__URLConnection_67b.java;badSink;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__URLConnection_68b.java;badSink;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__URLConnection_68b.java;goodG2BSink;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__URLConnection_71b.java;badSink;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__URLConnection_72b.java;badSink;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__URLConnection_73b.java;badSink;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__URLConnection_74b.java;badSink;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__URLConnection_75b.java;badSink;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__URLConnection_75b.java;goodG2BSink;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__URLConnection_81_bad.java;action;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__connect_tcp_01.java;bad;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__connect_tcp_02.java;bad;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__connect_tcp_03.java;bad;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__connect_tcp_04.java;bad;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__connect_tcp_05.java;bad;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__connect_tcp_06.java;bad;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__connect_tcp_07.java;bad;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__connect_tcp_08.java;bad;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__connect_tcp_09.java;bad;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__connect_tcp_10.java;bad;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__connect_tcp_11.java;bad;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__connect_tcp_12.java;bad;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__connect_tcp_13.java;bad;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__connect_tcp_14.java;bad;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__connect_tcp_15.java;bad;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__connect_tcp_16.java;bad;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__connect_tcp_17.java;bad;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__connect_tcp_21.java;bad;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__connect_tcp_22a.java;bad;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__connect_tcp_31.java;bad;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__connect_tcp_41.java;badSink;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__connect_tcp_42.java;bad;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__connect_tcp_45.java;badSink;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__connect_tcp_51b.java;badSink;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__connect_tcp_52c.java;badSink;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__connect_tcp_53d.java;badSink;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__connect_tcp_54e.java;badSink;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__connect_tcp_61a.java;bad;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__connect_tcp_66b.java;badSink;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__connect_tcp_67b.java;badSink;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__connect_tcp_68b.java;badSink;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__connect_tcp_68b.java;goodG2BSink;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__connect_tcp_71b.java;badSink;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__connect_tcp_72b.java;badSink;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__connect_tcp_73b.java;badSink;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__connect_tcp_74b.java;badSink;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__connect_tcp_75b.java;badSink;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__connect_tcp_75b.java;goodG2BSink;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__connect_tcp_81_bad.java;action;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__console_readLine_01.java;bad;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__console_readLine_02.java;bad;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__console_readLine_03.java;bad;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__console_readLine_04.java;bad;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__console_readLine_05.java;bad;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__console_readLine_06.java;bad;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__console_readLine_07.java;bad;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__console_readLine_08.java;bad;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__console_readLine_09.java;bad;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__console_readLine_10.java;bad;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__console_readLine_11.java;bad;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__console_readLine_12.java;bad;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__console_readLine_13.java;bad;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__console_readLine_14.java;bad;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__console_readLine_15.java;bad;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__console_readLine_16.java;bad;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__console_readLine_17.java;bad;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__console_readLine_21.java;bad;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__console_readLine_22a.java;bad;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__console_readLine_31.java;bad;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__console_readLine_41.java;badSink;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__console_readLine_42.java;bad;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__console_readLine_45.java;badSink;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__console_readLine_51b.java;badSink;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__console_readLine_52c.java;badSink;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__console_readLine_53d.java;badSink;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__console_readLine_54e.java;badSink;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__console_readLine_61a.java;bad;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__console_readLine_66b.java;badSink;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__console_readLine_67b.java;badSink;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__console_readLine_68b.java;badSink;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__console_readLine_68b.java;goodG2BSink;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__console_readLine_71b.java;badSink;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__console_readLine_72b.java;badSink;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__console_readLine_73b.java;badSink;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__console_readLine_74b.java;badSink;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__console_readLine_75b.java;badSink;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__console_readLine_75b.java;goodG2BSink;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__console_readLine_81_bad.java;action;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__database_01.java;bad;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__database_02.java;bad;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__database_03.java;bad;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__database_04.java;bad;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__database_05.java;bad;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__database_06.java;bad;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__database_07.java;bad;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__database_08.java;bad;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__database_09.java;bad;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__database_10.java;bad;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__database_11.java;bad;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__database_12.java;bad;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__database_13.java;bad;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__database_14.java;bad;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__database_15.java;bad;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__database_16.java;bad;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__database_17.java;bad;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__database_21.java;bad;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__database_22a.java;bad;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__database_31.java;bad;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__database_41.java;badSink;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__database_42.java;bad;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__database_45.java;badSink;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__database_51b.java;badSink;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__database_52c.java;badSink;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__database_53d.java;badSink;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__database_54e.java;badSink;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__database_61a.java;bad;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__database_66b.java;badSink;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__database_67b.java;badSink;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__database_68b.java;badSink;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__database_68b.java;goodG2BSink;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__database_71b.java;badSink;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__database_72b.java;badSink;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__database_73b.java;badSink;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__database_74b.java;badSink;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__database_75b.java;badSink;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__database_75b.java;goodG2BSink;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__database_81_bad.java;action;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__getCookies_Servlet_01.java;bad;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__getCookies_Servlet_02.java;bad;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__getCookies_Servlet_03.java;bad;CWE22
src/testcases/CWE23_Relative_Path_Traversal/CWE23_Relative_Path_Traversal__getCookies_Servlet_04.java;bad;CWE22
