path;method;vulnerability
src/testcases/CWE601_Open_Redirect/CWE601_Open_Redirect__Servlet_listen_tcp_41.java;badSink;CWE79
src/testcases/CWE606_Unchecked_Loop_Condition/CWE606_Unchecked_Loop_Condition__getQueryString_Servlet_52a.java;bad;CWE606
src/testcases/CWE606_Unchecked_Loop_Condition/CWE606_Unchecked_Loop_Condition__getQueryString_Servlet_02.java;goodB2G2;CWE606
src/testcases/CWE601_Open_Redirect/CWE601_Open_Redirect__Servlet_getQueryString_Servlet_68a.java;bad;CWE606
src/testcases/CWE601_Open_Redirect/CWE601_Open_Redirect__Servlet_getQueryString_Servlet_42.java;bad;CWE79
src/testcases/CWE601_Open_Redirect/CWE601_Open_Redirect__Servlet_getParameter_Servlet_09.java;bad;CWE79
src/testcases/CWE601_Open_Redirect/CWE601_Open_Redirect__Servlet_URLConnection_51b.java;badSink;CWE79
src/testcases/CWE601_Open_Redirect/CWE601_Open_Redirect__Servlet_getParameter_Servlet_15.java;bad;CWE79
src/testcases/CWE606_Unchecked_Loop_Condition/CWE606_Unchecked_Loop_Condition__getQueryString_Servlet_61b.java;badSource;CWE606
src/testcases/CWE601_Open_Redirect/CWE601_Open_Redirect__Servlet_URLConnection_06.java;bad;CWE79
src/testcases/CWE601_Open_Redirect/CWE601_Open_Redirect__Servlet_URLConnection_52c.java;badSink;CWE79
src/testcases/CWE601_Open_Redirect/CWE601_Open_Redirect__Servlet_URLConnection_42.java;bad;CWE79
src/testcases/CWE601_Open_Redirect/CWE601_Open_Redirect__Servlet_getQueryString_Servlet_13.java;bad;CWE79
src/testcases/CWE601_Open_Redirect/CWE601_Open_Redirect__Servlet_connect_tcp_68b.java;goodG2BSink;CWE79
src/testcases/CWE601_Open_Redirect/CWE601_Open_Redirect__Servlet_connect_tcp_14.java;bad;CWE79
src/testcases/CWE601_Open_Redirect/CWE601_Open_Redirect__Servlet_getCookies_Servlet_66b.java;badSink;CWE79
src/testcases/CWE601_Open_Redirect/CWE601_Open_Redirect__Servlet_getQueryString_Servlet_45.java;badSink;CWE79
src/testcases/CWE601_Open_Redirect/CWE601_Open_Redirect__Servlet_connect_tcp_04.java;bad;CWE79
src/testcases/CWE601_Open_Redirect/CWE601_Open_Redirect__Servlet_getQueryString_Servlet_67b.java;goodG2BSink;CWE79
src/testcases/CWE601_Open_Redirect/CWE601_Open_Redirect__Servlet_URLConnection_22a.java;bad;CWE79
src/testcases/CWE606_Unchecked_Loop_Condition/CWE606_Unchecked_Loop_Condition__getQueryString_Servlet_11.java;goodB2G2;CWE606
src/testcases/CWE606_Unchecked_Loop_Condition/CWE606_Unchecked_Loop_Condition__getQueryString_Servlet_01.java;bad;CWE606
src/testcases/CWE601_Open_Redirect/CWE601_Open_Redirect__Servlet_getParameter_Servlet_02.java;bad;CWE79
src/testcases/CWE601_Open_Redirect/CWE601_Open_Redirect__Servlet_File_67b.java;badSink;CWE79
src/testcases/CWE601_Open_Redirect/CWE601_Open_Redirect__Servlet_listen_tcp_11.java;bad;CWE79
src/testcases/CWE601_Open_Redirect/CWE601_Open_Redirect__Servlet_connect_tcp_52c.java;badSink;CWE79
src/testcases/CWE601_Open_Redirect/CWE601_Open_Redirect__Servlet_File_31.java;bad;CWE79
src/testcases/CWE601_Open_Redirect/CWE601_Open_Redirect__Servlet_listen_tcp_15.java;bad;CWE79
src/testcases/CWE601_Open_Redirect/CWE601_Open_Redirect__Servlet_connect_tcp_45.java;badSink;CWE79
src/testcases/CWE606_Unchecked_Loop_Condition/CWE606_Unchecked_Loop_Condition__getQueryString_Servlet_10.java;goodB2G1;CWE606
src/testcases/CWE601_Open_Redirect/CWE601_Open_Redirect__Servlet_File_08.java;bad;CWE79
src/testcases/CWE606_Unchecked_Loop_Condition/CWE606_Unchecked_Loop_Condition__getQueryString_Servlet_12.java;goodB2G;CWE606
src/testcases/CWE601_Open_Redirect/CWE601_Open_Redirect__Servlet_File_13.java;bad;CWE79
src/testcases/CWE601_Open_Redirect/CWE601_Open_Redirect__Servlet_URLConnection_71b.java;badSink;CWE79
src/testcases/CWE606_Unchecked_Loop_Condition/CWE606_Unchecked_Loop_Condition__getQueryString_Servlet_05.java;bad;CWE606
src/testcases/CWE606_Unchecked_Loop_Condition/CWE606_Unchecked_Loop_Condition__getQueryString_Servlet_06.java;goodB2G1;CWE606
src/testcases/CWE601_Open_Redirect/CWE601_Open_Redirect__Servlet_URLConnection_68b.java;badSink;CWE79
src/testcases/CWE601_Open_Redirect/CWE601_Open_Redirect__Servlet_File_66b.java;badSink;CWE79
src/testcases/CWE601_Open_Redirect/CWE601_Open_Redirect__Servlet_getQueryString_Servlet_53a.java;bad;CWE606
src/testcases/CWE606_Unchecked_Loop_Condition/CWE606_Unchecked_Loop_Condition__getQueryString_Servlet_72a.java;bad;CWE606
src/testcases/CWE606_Unchecked_Loop_Condition/CWE606_Unchecked_Loop_Condition__getQueryString_Servlet_61b.java;goodB2GSource;CWE606
src/testcases/CWE601_Open_Redirect/CWE601_Open_Redirect__Servlet_getQueryString_Servlet_01.java;bad;CWE79
src/testcases/CWE601_Open_Redirect/CWE601_Open_Redirect__Servlet_getQueryString_Servlet_66a.java;bad;CWE606
src/testcases/CWE601_Open_Redirect/CWE601_Open_Redirect__Servlet_getQueryString_Servlet_71b.java;badSink;CWE79
src/testcases/CWE606_Unchecked_Loop_Condition/CWE606_Unchecked_Loop_Condition__getQueryString_Servlet_75a.java;goodB2G;CWE606
src/testcases/CWE601_Open_Redirect/CWE601_Open_Redirect__Servlet_getQueryString_Servlet_15.java;bad;CWE79
src/testcases/CWE601_Open_Redirect/CWE601_Open_Redirect__Servlet_connect_tcp_17.java;bad;CWE79
src/testcases/CWE601_Open_Redirect/CWE601_Open_Redirect__Servlet_getQueryString_Servlet_41.java;bad;CWE606
src/testcases/CWE601_Open_Redirect/CWE601_Open_Redirect__Servlet_URLConnection_54e.java;badSink;CWE79
src/testcases/CWE601_Open_Redirect/CWE601_Open_Redirect__Servlet_getQueryString_Servlet_11.java;bad;CWE606
src/testcases/CWE601_Open_Redirect/CWE601_Open_Redirect__Servlet_File_67b.java;goodG2BSink;CWE79
src/testcases/CWE601_Open_Redirect/CWE601_Open_Redirect__Servlet_getParameter_Servlet_67b.java;badSink;CWE79
src/testcases/CWE601_Open_Redirect/CWE601_Open_Redirect__Servlet_URLConnection_08.java;bad;CWE79
src/testcases/CWE601_Open_Redirect/CWE601_Open_Redirect__Servlet_URLConnection_03.java;bad;CWE79
src/testcases/CWE606_Unchecked_Loop_Condition/CWE606_Unchecked_Loop_Condition__getQueryString_Servlet_52a.java;goodB2G;CWE606
src/testcases/CWE601_Open_Redirect/CWE601_Open_Redirect__Servlet_connect_tcp_51b.java;badSink;CWE79
src/testcases/CWE606_Unchecked_Loop_Condition/CWE606_Unchecked_Loop_Condition__getQueryString_Servlet_12.java;bad;CWE606
src/testcases/CWE601_Open_Redirect/CWE601_Open_Redirect__Servlet_getQueryString_Servlet_14.java;bad;CWE79
src/testcases/CWE601_Open_Redirect/CWE601_Open_Redirect__Servlet_URLConnection_13.java;bad;CWE79
src/testcases/CWE601_Open_Redirect/CWE601_Open_Redirect__Servlet_connect_tcp_13.java;bad;CWE79
src/testcases/CWE601_Open_Redirect/CWE601_Open_Redirect__Servlet_getParameter_Servlet_21.java;bad;CWE79
src/testcases/CWE601_Open_Redirect/CWE601_Open_Redirect__Servlet_getParameter_Servlet_68b.java;goodG2BSink;CWE79
src/testcases/CWE606_Unchecked_Loop_Condition/CWE606_Unchecked_Loop_Condition__getQueryString_Servlet_68a.java;bad;CWE606
src/testcases/CWE601_Open_Redirect/CWE601_Open_Redirect__Servlet_connect_tcp_31.java;bad;CWE79
src/testcases/CWE601_Open_Redirect/CWE601_Open_Redirect__Servlet_getParameter_Servlet_01.java;bad;CWE79
src/testcases/CWE601_Open_Redirect/CWE601_Open_Redirect__Servlet_File_01.java;bad;CWE79
src/testcases/CWE601_Open_Redirect/CWE601_Open_Redirect__Servlet_URLConnection_15.java;bad;CWE79
src/testcases/CWE601_Open_Redirect/CWE601_Open_Redirect__Servlet_URLConnection_14.java;bad;CWE79
src/testcases/CWE601_Open_Redirect/CWE601_Open_Redirect__Servlet_connect_tcp_22a.java;bad;CWE79
src/testcases/CWE601_Open_Redirect/CWE601_Open_Redirect__Servlet_getCookies_Servlet_42.java;bad;CWE79
src/testcases/CWE601_Open_Redirect/CWE601_Open_Redirect__Servlet_listen_tcp_67b.java;goodG2BSink;CWE79
src/testcases/CWE601_Open_Redirect/CWE601_Open_Redirect__Servlet_URLConnection_61a.java;bad;CWE79
src/testcases/CWE601_Open_Redirect/CWE601_Open_Redirect__Servlet_URLConnection_74b.java;badSink;CWE79
src/testcases/CWE601_Open_Redirect/CWE601_Open_Redirect__Servlet_URLConnection_09.java;bad;CWE79
src/testcases/CWE601_Open_Redirect/CWE601_Open_Redirect__Servlet_getParameter_Servlet_73b.java;badSink;CWE79
src/testcases/CWE606_Unchecked_Loop_Condition/CWE606_Unchecked_Loop_Condition__getQueryString_Servlet_02.java;goodB2G1;CWE606
src/testcases/CWE601_Open_Redirect/CWE601_Open_Redirect__Servlet_getQueryString_Servlet_09.java;bad;CWE606
src/testcases/CWE601_Open_Redirect/CWE601_Open_Redirect__Servlet_getQueryString_Servlet_06.java;bad;CWE606
src/testcases/CWE601_Open_Redirect/CWE601_Open_Redirect__Servlet_listen_tcp_16.java;bad;CWE79
src/testcases/CWE606_Unchecked_Loop_Condition/CWE606_Unchecked_Loop_Condition__getQueryString_Servlet_01.java;goodB2G;CWE606
src/testcases/CWE606_Unchecked_Loop_Condition/CWE606_Unchecked_Loop_Condition__getQueryString_Servlet_13.java;bad;CWE606
src/testcases/CWE601_Open_Redirect/CWE601_Open_Redirect__Servlet_getQueryString_Servlet_08.java;bad;CWE606
src/testcases/CWE601_Open_Redirect/CWE601_Open_Redirect__Servlet_getQueryString_Servlet_14.java;bad;CWE606
src/testcases/CWE601_Open_Redirect/CWE601_Open_Redirect__Servlet_getCookies_Servlet_21.java;bad;CWE79
src/testcases/CWE601_Open_Redirect/CWE601_Open_Redirect__Servlet_getQueryString_Servlet_05.java;bad;CWE79
src/testcases/CWE601_Open_Redirect/CWE601_Open_Redirect__Servlet_URLConnection_02.java;bad;CWE79
src/testcases/CWE601_Open_Redirect/CWE601_Open_Redirect__Servlet_File_09.java;bad;CWE79
src/testcases/CWE601_Open_Redirect/CWE601_Open_Redirect__Servlet_getQueryString_Servlet_81a.java;bad;CWE606
src/testcases/CWE601_Open_Redirect/CWE601_Open_Redirect__Servlet_getQueryString_Servlet_04.java;bad;CWE79
src/testcases/CWE601_Open_Redirect/CWE601_Open_Redirect__Servlet_getParameter_Servlet_08.java;bad;CWE79
src/testcases/CWE601_Open_Redirect/CWE601_Open_Redirect__Servlet_getQueryString_Servlet_16.java;bad;CWE606
src/testcases/CWE601_Open_Redirect/CWE601_Open_Redirect__Servlet_getQueryString_Servlet_31.java;bad;CWE606
src/testcases/CWE601_Open_Redirect/CWE601_Open_Redirect__Servlet_getParameter_Servlet_03.java;bad;CWE79
src/testcases/CWE601_Open_Redirect/CWE601_Open_Redirect__Servlet_File_17.java;bad;CWE79
src/testcases/CWE606_Unchecked_Loop_Condition/CWE606_Unchecked_Loop_Condition__getQueryString_Servlet_14.java;goodB2G1;CWE606
src/testcases/CWE606_Unchecked_Loop_Condition/CWE606_Unchecked_Loop_Condition__getQueryString_Servlet_31.java;bad;CWE606
src/testcases/CWE606_Unchecked_Loop_Condition/CWE606_Unchecked_Loop_Condition__getQueryString_Servlet_22a.java;goodB2G2;CWE606
src/testcases/CWE606_Unchecked_Loop_Condition/CWE606_Unchecked_Loop_Condition__getQueryString_Servlet_03.java;goodB2G1;CWE606
src/testcases/CWE601_Open_Redirect/CWE601_Open_Redirect__Servlet_getQueryString_Servlet_08.java;bad;CWE79
src/testcases/CWE601_Open_Redirect/CWE601_Open_Redirect__Servlet_getCookies_Servlet_14.java;bad;CWE79
src/testcases/CWE606_Unchecked_Loop_Condition/CWE606_Unchecked_Loop_Condition__getQueryString_Servlet_73a.java;bad;CWE606
src/testcases/CWE601_Open_Redirect/CWE601_Open_Redirect__Servlet_URLConnection_67b.java;goodG2BSink;CWE79
src/testcases/CWE601_Open_Redirect/CWE601_Open_Redirect__Servlet_getParameter_Servlet_04.java;bad;CWE79
src/testcases/CWE606_Unchecked_Loop_Condition/CWE606_Unchecked_Loop_Condition__getQueryString_Servlet_81a.java;bad;CWE606
src/testcases/CWE606_Unchecked_Loop_Condition/CWE606_Unchecked_Loop_Condition__getQueryString_Servlet_67a.java;bad;CWE606
src/testcases/CWE601_Open_Redirect/CWE601_Open_Redirect__Servlet_getQueryString_Servlet_10.java;bad;CWE606
src/testcases/CWE601_Open_Redirect/CWE601_Open_Redirect__Servlet_getQueryString_Servlet_12.java;bad;CWE606
src/testcases/CWE601_Open_Redirect/CWE601_Open_Redirect__Servlet_getQueryString_Servlet_71a.java;bad;CWE606
src/testcases/CWE601_Open_Redirect/CWE601_Open_Redirect__Servlet_URLConnection_41.java;badSink;CWE79
src/testcases/CWE606_Unchecked_Loop_Condition/CWE606_Unchecked_Loop_Condition__getParameter_Servlet_17.java;goodB2G;CWE606
src/testcases/CWE601_Open_Redirect/CWE601_Open_Redirect__Servlet_getQueryString_Servlet_02.java;bad;CWE606
src/testcases/CWE606_Unchecked_Loop_Condition/CWE606_Unchecked_Loop_Condition__getQueryString_Servlet_08.java;bad;CWE606
src/testcases/CWE606_Unchecked_Loop_Condition/CWE606_Unchecked_Loop_Condition__getQueryString_Servlet_11.java;bad;CWE606
src/testcases/CWE601_Open_Redirect/CWE601_Open_Redirect__Servlet_getParameter_Servlet_68b.java;badSink;CWE79
src/testcases/CWE601_Open_Redirect/CWE601_Open_Redirect__Servlet_getQueryString_Servlet_54e.java;badSink;CWE79
src/testcases/CWE606_Unchecked_Loop_Condition/CWE606_Unchecked_Loop_Condition__getQueryString_Servlet_06.java;goodB2G2;CWE606
src/testcases/CWE601_Open_Redirect/CWE601_Open_Redirect__Servlet_getQueryString_Servlet_42.java;badSource;CWE606
src/testcases/CWE601_Open_Redirect/CWE601_Open_Redirect__Servlet_URLConnection_16.java;bad;CWE79
src/testcases/CWE601_Open_Redirect/CWE601_Open_Redirect__Servlet_URLConnection_07.java;bad;CWE79
src/testcases/CWE601_Open_Redirect/CWE601_Open_Redirect__Servlet_getParameter_Servlet_05.java;bad;CWE79
src/testcases/CWE601_Open_Redirect/CWE601_Open_Redirect__Servlet_URLConnection_53d.java;badSink;CWE79
src/testcases/CWE606_Unchecked_Loop_Condition/CWE606_Unchecked_Loop_Condition__getQueryString_Servlet_45.java;goodB2G;CWE606
src/testcases/CWE601_Open_Redirect/CWE601_Open_Redirect__Servlet_listen_tcp_72b.java;badSink;CWE79
src/testcases/CWE601_Open_Redirect/CWE601_Open_Redirect__Servlet_getParameter_Servlet_42.java;bad;CWE79
src/testcases/CWE601_Open_Redirect/CWE601_Open_Redirect__Servlet_connect_tcp_01.java;bad;CWE79
src/testcases/CWE601_Open_Redirect/CWE601_Open_Redirect__Servlet_getCookies_Servlet_12.java;bad;CWE79
src/testcases/CWE601_Open_Redirect/CWE601_Open_Redirect__Servlet_getQueryString_Servlet_41.java;badSink;CWE79
src/testcases/CWE601_Open_Redirect/CWE601_Open_Redirect__Servlet_File_53d.java;badSink;CWE79
src/testcases/CWE601_Open_Redirect/CWE601_Open_Redirect__Servlet_getQueryString_Servlet_72a.java;bad;CWE606
src/testcases/CWE601_Open_Redirect/CWE601_Open_Redirect__Servlet_getQueryString_Servlet_07.java;bad;CWE606
src/testcases/CWE601_Open_Redirect/CWE601_Open_Redirect__Servlet_File_03.java;bad;CWE79
src/testcases/CWE601_Open_Redirect/CWE601_Open_Redirect__Servlet_getCookies_Servlet_02.java;bad;CWE79
src/testcases/CWE606_Unchecked_Loop_Condition/CWE606_Unchecked_Loop_Condition__getQueryString_Servlet_68a.java;goodB2G;CWE606
src/testcases/CWE601_Open_Redirect/CWE601_Open_Redirect__Servlet_connect_tcp_16.java;bad;CWE79
src/testcases/CWE601_Open_Redirect/CWE601_Open_Redirect__Servlet_getCookies_Servlet_22a.java;bad;CWE79
src/testcases/CWE601_Open_Redirect/CWE601_Open_Redirect__Servlet_connect_tcp_07.java;bad;CWE79
src/testcases/CWE601_Open_Redirect/CWE601_Open_Redirect__Servlet_connect_tcp_41.java;badSink;CWE79
src/testcases/CWE601_Open_Redirect/CWE601_Open_Redirect__Servlet_connect_tcp_67b.java;badSink;CWE79
src/testcases/CWE601_Open_Redirect/CWE601_Open_Redirect__Servlet_getQueryString_Servlet_72b.java;badSink;CWE79
src/testcases/CWE601_Open_Redirect/CWE601_Open_Redirect__Servlet_File_73b.java;badSink;CWE79
src/testcases/CWE601_Open_Redirect/CWE601_Open_Redirect__Servlet_getQueryString_Servlet_11.java;bad;CWE79
src/testcases/CWE601_Open_Redirect/CWE601_Open_Redirect__Servlet_getParameter_Servlet_54e.java;badSink;CWE79
src/testcases/CWE601_Open_Redirect/CWE601_Open_Redirect__Servlet_getQueryString_Servlet_68b.java;goodG2BSink;CWE79
src/testcases/CWE601_Open_Redirect/CWE601_Open_Redirect__Servlet_getQueryString_Servlet_06.java;bad;CWE79
src/testcases/CWE601_Open_Redirect/CWE601_Open_Redirect__Servlet_listen_tcp_14.java;bad;CWE79
src/testcases/CWE601_Open_Redirect/CWE601_Open_Redirect__Servlet_listen_tcp_54e.java;badSink;CWE79
src/testcases/CWE606_Unchecked_Loop_Condition/CWE606_Unchecked_Loop_Condition__getQueryString_Servlet_15.java;goodB2G1;CWE606
src/testcases/CWE606_Unchecked_Loop_Condition/CWE606_Unchecked_Loop_Condition__getQueryString_Servlet_13.java;goodB2G2;CWE606
src/testcases/CWE601_Open_Redirect/CWE601_Open_Redirect__Servlet_getParameter_Servlet_61a.java;bad;CWE79
src/testcases/CWE601_Open_Redirect/CWE601_Open_Redirect__Servlet_getQueryString_Servlet_31.java;bad;CWE79
src/testcases/CWE601_Open_Redirect/CWE601_Open_Redirect__Servlet_connect_tcp_05.java;bad;CWE79
src/testcases/CWE606_Unchecked_Loop_Condition/CWE606_Unchecked_Loop_Condition__getQueryString_Servlet_09.java;goodB2G1;CWE606
src/testcases/CWE601_Open_Redirect/CWE601_Open_Redirect__Servlet_getParameter_Servlet_13.java;bad;CWE79
src/testcases/CWE601_Open_Redirect/CWE601_Open_Redirect__Servlet_connect_tcp_53d.java;badSink;CWE79
src/testcases/CWE601_Open_Redirect/CWE601_Open_Redirect__Servlet_connect_tcp_06.java;bad;CWE79
src/testcases/CWE601_Open_Redirect/CWE601_Open_Redirect__Servlet_getParameter_Servlet_06.java;bad;CWE79
src/testcases/CWE601_Open_Redirect/CWE601_Open_Redirect__Servlet_listen_tcp_66b.java;badSink;CWE79
src/testcases/CWE606_Unchecked_Loop_Condition/CWE606_Unchecked_Loop_Condition__getQueryString_Servlet_07.java;goodB2G1;CWE606
src/testcases/CWE606_Unchecked_Loop_Condition/CWE606_Unchecked_Loop_Condition__URLConnection_17.java;goodB2G;CWE606
src/testcases/CWE601_Open_Redirect/CWE601_Open_Redirect__Servlet_getQueryString_Servlet_67a.java;bad;CWE606
src/testcases/CWE606_Unchecked_Loop_Condition/CWE606_Unchecked_Loop_Condition__getQueryString_Servlet_21.java;goodB2G2;CWE606
src/testcases/CWE601_Open_Redirect/CWE601_Open_Redirect__Servlet_getQueryString_Servlet_45.java;bad;CWE606
src/testcases/CWE601_Open_Redirect/CWE601_Open_Redirect__Servlet_File_05.java;bad;CWE79
src/testcases/CWE601_Open_Redirect/CWE601_Open_Redirect__Servlet_connect_tcp_15.java;bad;CWE79
src/testcases/CWE601_Open_Redirect/CWE601_Open_Redirect__Servlet_getQueryString_Servlet_51a.java;bad;CWE606
src/testcases/CWE601_Open_Redirect/CWE601_Open_Redirect__Servlet_File_11.java;bad;CWE79
src/testcases/CWE601_Open_Redirect/CWE601_Open_Redirect__Servlet_getQueryString_Servlet_51b.java;badSink;CWE79
src/testcases/CWE601_Open_Redirect/CWE601_Open_Redirect__Servlet_getQueryString_Servlet_17.java;bad;CWE79
src/testcases/CWE601_Open_Redirect/CWE601_Open_Redirect__Servlet_getCookies_Servlet_07.java;bad;CWE79
src/testcases/CWE606_Unchecked_Loop_Condition/CWE606_Unchecked_Loop_Condition__getQueryString_Servlet_10.java;goodB2G2;CWE606
src/testcases/CWE606_Unchecked_Loop_Condition/CWE606_Unchecked_Loop_Condition__getQueryString_Servlet_14.java;goodB2G2;CWE606
src/testcases/CWE601_Open_Redirect/CWE601_Open_Redirect__Servlet_URLConnection_68b.java;goodG2BSink;CWE79
src/testcases/CWE601_Open_Redirect/CWE601_Open_Redirect__Servlet_listen_tcp_05.java;bad;CWE79
src/testcases/CWE606_Unchecked_Loop_Condition/CWE606_Unchecked_Loop_Condition__getQueryString_Servlet_51a.java;bad;CWE606
src/testcases/CWE606_Unchecked_Loop_Condition/CWE606_Unchecked_Loop_Condition__getQueryString_Servlet_08.java;goodB2G1;CWE606
src/testcases/CWE601_Open_Redirect/CWE601_Open_Redirect__Servlet_URLConnection_31.java;bad;CWE79
